DateTime;DietCode;OUT;PV;SP
44785,24861;BK32993M;35,3075676;7711,510254;7700
44785,25903;BK32993M;34,76869202;7658,726563;7700
44785,26944;BK32993M;34,09532928;7816,005371;7700
44785,27986;BK32993M;35,31350327;7612,521484;7700
44785,29028;BK32993M;35,30907059;7651,12207;7700
44785,30069;BK32993M;35,48968887;7684,979004;7700
44785,31111;BK32993M;35,22491074;7724,895508;7700
44785,32153;BK32993M;34,19267273;7907,095703;7700
44785,33194;BK32993M;34,47136307;7693,650391;7700
44785,34236;BK32993M;34,42868423;7736,45166;7700
44785,35278;BK32993M;35,34165955;7623,544922;7700
44785,36319;BK32993M;34,86613083;7831,756836;7700
44785,37361;BK32993M;33,80851746;7867,986328;7700
44785,38403;BK32993M;35,34114838;7730,147461;7700
44785,39444;BK32993M;35,31936646;7699,958984;7700
44785,40486;BK32993M;34,50184631;7745,899902;7700
44785,41528;BK32993M;34,2688446;7858,807129;7700
44785,42569;BK32993M;35,31225204;7735,400391;7700
44785,43611;BK32993M;34,47415543;7888,198242;7700
44785,44653;BK32993M;33,93535995;7788,960938;7700
44785,45694;BK32993M;35,24929428;7599,395996;7700
44785,46736;BK32993M;34,84558487;7667,408203;7700
44785,47778;BK32993M;34,16320038;7807,070313;7700
44785,48819;BK32993M;33,88666916;7793,948242;7700
44785,49861;BK32993M;35,11864853;7706,257813;7700
44785,50903;BK32993M;33,72011185;7824,401855;7700
44785,51944;BK32993M;34,11771774;7706,517578;7700
44785,52986;BK32993M;34,90912628;7669,500977;7700
44785,54028;BK32993M;33,87540054;7881,645996;7700
44785,55069;BK32993M;34,36769104;7758,244141;7700
44785,56111;BK32993M;34,59773636;7657,151855;7700
44785,57153;BK32993M;33,6880455;7739,605957;7700
44785,58194;BK32993M;35,05036545;7490,181641;7700
44785,59236;BK32993M;34,73802948;7689,454102;7700
44785,60278;BK32993M;33,64123154;7819,678711;7700
44785,61319;BK32993M;34,85412216;7539,536133;7700
44785,62361;BK32993M;34,78435898;7650,863281;7700
44785,63403;BK32993M;33,89812088;7858,801758;7700
44785,64444;BK32993M;34,74198914;7670,806641;7700
44785,65486;BK32993M;34,74608231;7676,577637;7700
44785,66528;BK32993M;34,26298904;7785,283203;7700
44785,67569;BK32993M;34,60636139;7667,128906;7700
44785,68611;BK32993M;34,6548996;7684,989746;7700
44785,69653;BK32993M;33,85574341;7818,621094;7700
44785,70694;BK32993M;34,12866974;7818,641602;7700
