Density;OUT;PV
528;40,22855759;7873,23877
528;40,92499924;7893,450195
384;41,06648636;7857,491211
384;40,01810837;7942,556641
384;38,62989044;8241,337891
384;39,56551361;8063,073242
384;39,85409927;8041,286133
384;40,11050034;7954,108398
384;39,86500931;8042,322754
384;40,61530304;8048,362305
384;39,88508224;7912,357422
384;39,85490417;7940,453125
384;39,76596451;8058,329102
384;40,8968811;7923,650391
384;41,58078384;7573,154297
384;38,74423981;8266,283203
384;39,54049301;8036,81543
384;39,49518967;8096,421875
384;40,31074524;8101,65332
384;40,69828415;8016,598633
384;40,57456207;7921,546875
384;38,46086121;8222,962891
384;39,23996735;7994,283691
384;39,17158127;8108,231445
384;40,46935272;8019,479492
384;40,40582657;7983,77832
384;39,39683914;7981,411621
384;39,38825607;7994,283691
384;39,47912979;8115,577148
384;40,23704147;8053,345703
384;40,37534332;7928,115234
384;39,4237709;8005,30127
384;39,2268219;8039,96582
384;40,12627411;8045,741211
384;40,1383667;7971,699219
384;39,15242386;8060,706055
384;39,08575058;8062,798828
384;39,36798096;8112,696777
384;40,09407043;7984,297363
384;40,10927963;7938,878418
384;40,57017136;7668,185059
384;38,57214737;8095,883789
384;39,24213791;7961,981445
384;38,94057846;8073,308594
384;39,08178329;8084,855469
384;39,16035843;8142,358398
384;39,77428436;8066,740723
384;39,8406105;8070,957031
384;40,53540421;8028,668945
384;40,51119232;8023,68457
384;40,93310165;8002,935059
384;41,02397537;7947,797852
384;40,86445618;8019,479492
384;40,95211792;7783,708008
384;39,49901581;8097,991699
384;39,77692795;8110,852539
384;39,94810486;8103,239258
384;39,94719696;8118,732422
384;40,34745026;8035,240723
384;40,27381897;8059,654297
384;39,74734879;8084,605469
384;39,43467712;8086,967773
384;40,38064194;7969,865234
384;40,21744919;7964,353516
384;40,14196396;8044,694336
384;40,02821732;8005,834961
384;39,95088196;8037,60791
384;40,20410156;7989,030762
384;40,15671158;8041,006836
384;40,71023941;7874,564453
384;40,68967056;7969,865234
384;40,56789017;8057,561523
384;40,77191544;7856,962891
384;40,54673767;7952,274414
384;40,60728836;7976,164063
384;40,65227509;7980,629395
384;40,51975632;8027,353027
384;40,62211609;7970,912109
384;40,56654358;7911,838867
384;39,8561554;8019,479492
384;40,14055634;8004,788086
384;39,95638657;7952,533203
384;40,46051025;7839,123047
384;40,00494003;7787,644531
384;38,53337479;8104,026367
384;38,77712631;8127,128906
384;38,48443222;8095,628906
384;38,8738327;8119,509766
384;39,52445984;8095,365234
384;40,13844299;8054,402344
384;40,19946289;8018,691895
384;39,96842194;8041,54541
384;39,40649033;8013,966797
384;35,10393524;7886,375
384;34,41360092;7583,648438
384;35,26815414;7418,491211
344;35,02180099;7696,011719
344;35,16545486;7671,065918
344;34,67853165;7791,323242
344;34,52537918;7585,212891
344;34,31739807;7691,283203
344;35,35053253;7577,349609
344;34,81165314;7813,378906
344;34,07687378;7767,697266
344;34,23280716;7739,078125
344;34,56364059;7729,615723
344;35,01681519;7745,376953
344;35,36907578;7682,626953
344;35,11895752;7732,52002
344;34,46022415;7768,475098
344;35,57943344;7499,091797
344;35,3373909;7722,792969
344;34,73830795;7813,902344
344;34,34879684;7897,128418
344;35,86191559;7543,732422
344;35,68309784;7707,313477
344;34,65689087;7794,208008
344;34,5051651;7790,275391
344;35,373703;7719,65332
344;35,70158768;7709,397461
344;34,91049194;7851,187012
344;34,53627777;7805,764648
344;35,68701553;7708,091797
344;35,85203552;7724,626465
344;34,76622391;7788,950195
344;34,68125916;7811,022461
344;35,94674301;7586,259766
344;35,84234619;7633,780273
344;35,71253967;7726,739258
344;35,14863586;7850,13623
344;34,84975815;7800,257324
344;35,80821609;7687,083008
344;36,02688217;7686,57373
344;35,18445969;7640,358398
344;33,12082672;7874,554688
344;33,48865891;7962,241211
344;33,04295731;8053,345703
528;33,17471313;7949,642578
528;33,0898056;7964,348633
528;33,59539032;7997,691895
528;33,94371033;7910,524414
528;33,43041229;8061,757813
528;34,04876328;8010,299805
528;34,06772614;7865,624023
528;34,47524261;7917,361328
528;33,88713074;7931,265137
528;34,5457077;7888,996094
528;34,1581459;7854,083008
528;34,7624321;7836,741211
528;33,91296768;7899,491211
528;32,96105194;7964,607422
528;36,05099106;9004,322266
528;36,57282257;9054,473633
528;36,3522644;9040,830078
456;36,55829239;9124,050781
456;36,17037582;9129,831055
456;36,51527405;9095,167969
456;37,46100998;8700,03125
456;37,36837387;8958,654297
456;37,48628616;9105,941406
456;37,32779694;8978,080078
456;37,32042313;9147,423828
456;37,74190521;8948,9375
456;36,92501831;9156,612305
456;36,57658386;9189,695313
456;36,76205063;9160,554688
456;36,83763123;9142,688477
456;37,00153351;9184,966797
456;37,76784134;9009,051758
456;37,73785019;9009,316406
456;37,62462234;9044,243164
456;37,15862656;9138,492188
456;37,46590042;9056,845703
456;36,52358246;9004,326172
456;35,97148514;8827,105469
456;36,0963707;8830,77832
416;34,77270889;8978,333984
416;35,97984314;8879,350586
416;36,46517944;8761,206055
416;35,93897629;8886,955078
416;35,61289215;8816,082031
416;35,11508179;8907,974609
416;35,08441925;8917,417969
416;35,20186996;8935,532227
416;36,1884346;8747,810547
416;36,43063354;8776,693359
416;35,49045181;8864,121094
416;36,28090668;8834,450195
416;36,05529404;8856,767578
416;36,75365448;8571,640625
416;35,95327759;8732,851563
416;35,31252289;8867,006836
416;35,20232391;8890,902344
416;36,08136368;8824,738281
416;28,33118057;6989,742188
416;29,32925224;6902,050781
416;29,34027481;6983,966309
528;28,75357628;6983,961426
528;29,41099358;7078,749512
528;28,38949585;7042,509766
528;29,75745392;6977,66748
528;28,64235497;7105,270508
528;28,58675957;7006,022461
528;28,59200859;7128,901367
528;28,78759003;6988,167969
528;29,69754982;6952,980469
528;29,10286331;7032,79248
528;28,27643585;7041,722656
528;29,09903145;7087,938477
528;29,3776226;6962,169434
528;28,78464699;7019,936035
528;28,18870544;6994,994141
528;28,92042732;6979,500977
528;29,36595917;6872,648926
528;29,15616226;7006,281738
528;28,52969933;7150,159668
528;28,19256973;7130,475586
528;29,11594772;6820,658203
528;34,05735779;8008,719727
528;34,64115906;8032,605469
528;34,81667328;8008,714844
528;34,55706024;7938,350586
528;33,37250137;8104,548828
528;34,06392288;8067
528;34,99654007;7911,051758
528;33,66444016;8096,675781
528;34,61176682;7973,801758
528;35,01985931;7832,026367
528;33,94632339;8060,696289
528;33,85245514;8170,454102
528;34,54959488;8069,630859
528;33,80814743;7953,320313
528;40,26773071;10185,56641
528;41,75090408;9954,520508
456;40,34247208;10127,27246
456;41,31127167;9963,96875
456;40,65525818;10084,99805
456;43,05321121;9644,449219
456;41,10540009;9943,216797
456;42,75048828;9767,047852
456;40,86685181;9977,349609
456;42,23038864;9969,480469
456;40,46926498;10204,20898
456;41,78562927;9987,071289
456;40,70720673;10089,73828
456;40,66986084;10252,77148
456;40,98703003;10070,03906
456;40,91692734;10197,37695
456;42,77350998;9578,010742
456;40,92038345;10099,18066
456;41,63584137;9977,363281
456;41,01493454;10093,93945
456;40,96627426;10065,05078
456;41,86144638;10093,13672
456;41,11962509;10045,0918
456;41,06970978;10228,62305
456;42,21481323;9735,004883
456;35,28394318;9459,329102
456;36,44900131;8936,857422
456;36,25730515;8968,362305
456;35,54738235;9012,459961
456;34,81037521;9147,412109
456;35,83934021;9032,427734
456;35,12938309;9078,887695
456;36,3342247;8964,416016
456;35,77989578;9009,056641
456;35,96120071;8996,458008
456;35,18551254;9108,029297
456;35,18430328;9044,761719
456;36,26419449;8983,849609
456;35,96219635;8962,3125
456;35,84944153;9013,00293
456;35,31049347;9035,573242
456;35,01261902;9048,697266
456;36,14530182;9020,876953
456;36,08558273;8956,273438
456;35,55204773;9014,5625
456;35,37902832;8990,418945
456;35,55639648;9109,091797
456;34,74289322;9179,984375
456;35,94356918;9041,613281
456;35,14879227;9078,62793
456;35,85699844;8911,912109
456;35,2502327;9015,882813
456;30,25173187;6993,943359
456;31,05731583;7007,079102
456;31,00451279;6968,213867
344;30,91875648;7012,316406
344;31,37652206;7063,520508
344;31,45580101;7037,527344
344;31,74868011;6848,230957
344;30,50117302;7113,677734
344;30,65126228;7079,007813
344;31,80294991;6939,605469
344;32,20624542;6771,557617
344;30,44414139;7118,391113
344;31,44167137;6976,08252
344;31,56473541;6886,303223
344;30,57144737;7069,300293
344;31,19472122;7033,839844
344;31,1478405;6966,385742
344;30,32893372;7110,512695
344;30,32598686;7111,837891
344;31,48522949;6969,793457
344;31,51646233;7027,291504
344;31,18169594;7100,541504
344;31,04166031;7087,678223
344;31,51315498;6992,896484
344;31,61066818;6891,535645
