Density;OUT;PV
400;41,54595184;6943,283203
400;41,38462448;7074,542969
432;41,78354263;6951,166016
432;42,16896439;6951,954102
432;41,85391617;7071,642578
432;42,4160881;7019,417969
432;42,41960907;7003,661133
432;42,78046799;7022,297852
432;42,91441345;6923,080078
432;42,35012817;7064,562012
432;42,76476288;7011,53418
432;42,6892128;7036,470703
432;42,61972046;6992,637207
432;42,86876297;7074,802246
432;42,69571686;7035,43457
432;42,75232315;6991,332031
432;42,92079544;7008,125
432;42,54445267;7032,807617
432;43,07892609;6965,328613
432;43,16505051;6945,904297
432;42,7631073;7071,916992
432;43,37223434;6971,637695
432;42,83356857;7033,056641
432;43,06289291;7069,291016
432;42,92470169;7013,901367
432;43,29239273;6966,116211
432;42,87786102;7021,769531
432;43,22939301;6934,362793
432;42,94111252;7031,736816
432;42,69077301;7014,683594
432;43,08574677;6969,534668
432;42,98002625;7024,913574
432;43,14674759;7064,566406
432;43,06477356;7052,477051
432;43,4109726;7086,083984
432;43,31249237;6963,5
432;43,22166443;7102,360352
432;43,21704483;7017,310059
432;43,69755173;6998,417969
432;43,21600723;7102,888672
432;43,67175674;6936,724121
432;43,59810638;6912,575195
432;50,87631226;8059,196289
432;51,51982117;7968,370605
400;51,14342499;8037,404297
400;51,20528793;7971,255859
400;51,14603806;8025,852539
400;51,59498596;7955,254395
400;51,29157639;8017,725586
400;51,27500916;8018,771484
400;51,61203384;8024,801758
400;51,41244125;7984,645508
400;51,67544174;7984,645508
400;51,44304657;7992,77832
400;51,41629791;7996,456543
400;51,44126129;8029,804688
400;51,52303314;7962,334961
400;51,43344498;7996,973633
400;51,833992;7904,044922
400;51,76634598;7996,725098
400;51,68759918;8020,336914
400;51,51066589;8014,575684
400;51,62821198;7998,549316
400;51,47388458;8026,649902
400;51,20865631;8033,198242
400;51,20832443;8044,490234
400;33,05648041;6020,831055
400;33,24591446;5993,273438
400;33,36154175;5991,69873
528;32,88683319;6038,158203
528;32,85154724;5980,147461
528;32,80791092;5973,579102
528;32,5875473;6033,966797
528;33,02344894;5952,589844
528;32,87705994;5988,020996
528;32,90331268;5968,860352
528;32,84582901;6031,864258
528;32,95397568;6015,578613
528;33,15384674;5987,233398
528;33,28083038;5956,775391
528;33,09934235;5982,245117
528;32,92637634;6013,480469
528;33,08161926;6004,037598
528;33,22080994;5989,067383
528;33,19678879;5991,967773
528;33,31836319;5985,140625
528;33,18279648;6008,771484
528;33,28077316;5978,831543
528;33,31175613;5988,808594
528;33,33934021;5993,796387
528;33,13922119;6046,56543
528;33,33826828;5976,205566
528;33,34550858;6002,198242
528;33,37216949;5977,261719
528;33,44705963;5937,101563
528;32,94350433;6024,777832
528;32,96406174;5989,864746
528;32,83996964;6053,651367
528;47,33575058;8021,397461
528;48,14356613;8031,370117
432;48,11429214;7997,771484
432;48,2872467;8030,063965
432;48,49147034;7994,104492
432;48,53372574;8012,204102
432;48,70801926;7974,668945
432;48,68522263;7936,088867
432;48,53404999;7968,100586
432;48,3025322;7999,077148
432;48,20938873;8038,201172
432;48,35235214;8003,019043
432;48,32283401;8006,965332
432;48,26111984;8011,156738
432;48,36869049;8029,007324
432;48,20170593;8009,054199
432;48,15851593;7994,353516
432;48,11488342;8029,01709
432;48,32922363;8025,598633
432;48,57945633;7957,34668
432;49,06790161;7940,802734
432;48,99769974;7972,038086
432;48,86672211;7946,842773
432;48,44306183;8011,680176
432;48,44294739;8053,68457
432;48,64806747;8002,754883
432;50,30830383;8007,743164
432;50,60821533;8022,717773
432;50,4005928;7985,163574
440;50,46628571;8023,754883
440;50,31442261;8018,243164
440;50,14606857;8000,393555
440;50,13754272;8022,704102
440;50,26393509;7988,845703
440;50,59447479;7967,323242
440;50,23633575;8000,133789
440;50,01570129;8022,977051
440;49,95985031;8007,219727
440;50,01914978;7992,509766
440;50,15909958;8025,060547
440;50,45019913;7984,905273
440;50,28596115;8050,540039
440;50,27830124;7975,450684
440;50,27786255;7983,863281
440;49,90453339;8027,173828
440;50,51468658;7893,561035
440;50,37418747;8027,702148
440;50,59030533;7977,020996
440;50,38414001;8028,230469
440;51,05505371;7941,331055
440;50,58148193;8013,519531
440;45,98978806;7541,529297
440;46,88032532;7520,540039
440;46,20339203;7467,248047
456;46,79084015;7444,933594
456;45,97376251;7553,868164
456;46,44522095;7513,712891
456;45,66643906;7555,179688
456;46,4521904;7454,90918
456;45,94842911;7521,048828
456;46,53804398;7463,838867
456;46,29685974;7455,956055
456;46,08594513;7526,569336
456;46,24411392;7481,430664
456;46,16012573;7518,167969
456;46,54357529;7464,617188
456;45,86647797;7548,625977
456;46,55273819;7445,989258
456;46,10824966;7507,931641
456;46,3939209;7474,852539
456;46,21869659;7495,862305
456;46,56377792;7459,893066
456;46,11826706;7526,041016
456;46,55508041;7473,277832
456;45,95715332;7524,46582
456;45,58003998;7507,144531
456;60,63121414;9967,347656
456;60,88027573;10063,94434
456;61,11164856;10008,82813
456;60,84197998;10087,31543
456;60,63856125;10049,51172
456;60,5913887;10059,75781
456;60,12768555;10030,61523
456;59,98003769;9989,139648
456;60,04645538;9969,196289
456;60,1388855;9940,053711
456;59,92948914;9964,466797
456;59,542099;10117,24512
456;60,25701141;9990,708984
456;60,12670135;9938,474609
456;60,35704422;9967,865234
456;60,10454941;9925,617188
456;59,31929016;10042,9541
456;59,54998016;10014,33984
456;59,39542389;10033,24707
456;59,53364182;10096,49414
456;60,62262344;9878,095703
456;41,58140564;6904,682129
456;41,68462753;6987,390625
440;41,59893036;7010,746582
440;41,42490387;6976,880371
440;41,50616074;6995,517578
440;41,67317581;6932,519531
440;41,52962875;7048,809082
440;41,45782852;7039,878906
440;41,97846985;6958,242188
440;41,76797104;6985,55127
440;41,87399673;7053,015625
440;41,8965683;7004,458008
440;41,71392441;7011,802734
440;41,70534897;7030,171875
440;41,49040604;7040,412109
440;41,87365723;7016,786133
440;41,81326675;6990,275391
440;41,71352768;7032,274902
440;41,72933197;6977,13916
440;41,88359451;6947,488281
440;41,52495575;7045,918945
440;41,60163879;6971,109375
440;41,64515686;7018,620605
440;41,84020996;6938,558594
440;41,85857773;6989,228516
440;41,42351532;7025,183594
440;51,41433334;8789,492188
440;53,37683487;8827,025391
440;53,39378738;8766,378906
440;53,22798157;8819,420898
440;53,0402565;8859,046875
440;54,01599121;8723,332031
440;53,77495193;8832,27832
440;53,49953461;8875,587891
440;54,27542877;8682,917969
440;53,62293243;8767,962891
440;53,05533218;8919,950195
440;53,36645508;8816,790039
440;53,31262207;8850,398438
440;53,2285881;8793,6875
440;53,45533371;8793,946289
440;53,72722626;8782,134766
440;53,13571167;8827,026367
440;53,74994278;8754,060547
440;53,2369957;8823,617188
440;53,0100174;8845,932617
440;53,58736038;8843,820313
440;53,05192947;8851,962891
440;53,22555161;8817,567383
440;54,06494904;8770,056641
440;57,23258972;8507,292969
440;51,10075378;8055,518555
440;52,15942764;8014,833984
368;52,14121628;7986,479492
368;52,32136917;8002,754883
368;52,1278038;7995,927734
368;52,46935654;8014,047363
368;52,33320236;7963,387207
368;52,29195023;7966,796387
368;52,24755478;7999,345703
368;52,43352509;7907,214844
368;52,27140045;8006,168457
368;52,09140015;8022,439453
368;52,15410995;7968,628906
368;51,86151886;7962,594727
368;51,83490753;8033,730469
368;51,94490051;7994,622559
368;52,1717186;8010,364258
368;51,78405762;7979,392578
368;52,02242279;8006,951172
368;52,71876526;7915,337891
368;53,03750229;7994,094727
368;52,96269989;7928,991699
368;52,79016495;7933,975586
368;52,19599915;8003,546875
368;52,31085205;7994,104492
368;52,24330139;8014,306152
368;52,07950974;8025,070801
368;52,12790298;8043,448242
368;52,03124237;8019,300293
368;51,88393784;8020,874023
368;53,18902206;8028,75293
368;52,68140411;8035,296387
368;53,07976532;7978,087402
368;52,5618515;7999,865234
368;53,46884155;7990,156738
368;53,08591843;7997,766602
368;53,68873596;8012,203125
368;53,55842209;8004,85791
368;53,43080521;7942,376953
368;52,96136856;8020,082031
368;53,18988037;8012,472656
368;53,91386032;7891,706543
368;53,64783478;8041,883789
368;53,93257141;7945,536621
368;54,30463409;7932,669922
368;53,80393219;7977,808594
368;54,19475937;7953,669434
368;53,57999802;8033,203125
368;53,9427681;8019,558594
368;53,67529297;8042,392578
368;54,44006348;7857,332031
368;53,86538315;8053,68457
368;53,63624954;8019,299316
368;54,33813095;7983,330078
368;54,00334167;7943,961914
