OUT;PV
35,96120071;8996,458008
35,18551254;9108,029297
35,18430328;9044,761719
36,26419449;8983,849609
35,96219635;8962,3125
35,84944153;9013,00293
35,31049347;9035,573242
35,01261902;9048,697266
36,14530182;9020,876953
36,08558273;8956,273438
35,55204773;9014,5625
35,37902832;8990,418945
35,55639648;9109,091797
34,74289322;9179,984375
35,94356918;9041,613281
35,14879227;9078,62793
35,85699844;8911,912109
35,2502327;9015,882813
30,25173187;6993,943359
31,05731583;7007,079102
31,00451279;6968,213867
30,91875648;7012,316406
31,37652206;7063,520508
31,45580101;7037,527344
31,74868011;6848,230957
30,50117302;7113,677734
30,65126228;7079,007813
31,80294991;6939,605469
32,20624542;6771,557617
30,44414139;7118,391113
31,44167137;6976,08252
31,56473541;6886,303223
30,57144737;7069,300293
31,19472122;7033,839844
31,1478405;6966,385742
30,32893372;7110,512695
30,32598686;7111,837891
31,48522949;6969,793457
31,51646233;7027,291504
31,18169594;7100,541504
31,04166031;7087,678223
31,51315498;6992,896484
31,61066818;6891,535645
30,0286541;7090,299805
31,34309196;7010,228516
31,08727264;6968,996582
30,62909126;7034,641602
31,26777267;7057,739258
31,41234207;6994,720703
31,67217445;6853,732422
30,51603889;7156,200195
31,52311325;6999,185547
31,31629944;6935,927734
30,70394516;7092,144043
30,70790291;7111,299805
31,29282379;6964,790527
30,69834518;7027,560547
30,85774803;7101,592773
31,25911522;6935,399414
30,55624771;7084,524902
30,68551826;7083,214844
31,95462418;6962,438477
31,88094139;7000,500977
31,53261948;7051,44043
31,69776917;7100,003418
32,45205688;6945,893555
32,17079163;6968,209961
31,50049782;7049,860352
31,18160439;7139,669922
32,42228317;7018,889648
32,31253052;6958,760742
31,95879745;7059,32373
31,41761398;7092,40332
32,72626877;6959,289551
32,50802612;6996,563965
32,84631348;6780,21875
31,57024956;7092,149414
31,7610817;7082,426758
32,46056747;7009,171875
31,96784401;7009,171875
31,83161926;6936,714844
31,20433998;7150,169922
31,42470169;7022,567383
32,51144791;6962,168945
32,01137161;7018,112305
31,41794014;7038,304688
31,34778595;7132,31543
32,43371582;6961,123047
32,37890244;6951,934082
32,13434982;6986,84668
31,90475464;6952,990234
31,22426224;7132,574219
32,43785858;6958,501953
32,17241669;7005,763672
31,78371429;7027,550293
31,87022018;6853,209473
31,54237366;7012,321289
31,17363167;7135,195313
31,71968651;7004,44873
30,18348503;6696,728516
28,30102158;7013,647461
28,65285492;7010,223633
28,52729225;7077,169434
28,69270897;7040,412109
29,25893593;6956,129395
29,89125443;6679,924805
29,16180229;6949,3125
28,5095253;7158,312012
28,99709892;6939,335938
28,91068077;6996,056641
28,78992271;6967,162598
28,47654343;6991,840332
28,73478699;6963,485352
27,90947533;7000,775391
28,26961327;7026,493652
28,44831848;7008,379883
27,85132408;7054,858887
28,42045593;7016,787109
27,70246124;7076,12793
28,39020538;7031,746094
28,01981544;6993,953125
28,10331726;7038,045898
28,34996796;6999,982422
35,92388535;9381,359375
36,40686035;9324,115234
36,60553741;9293,393555
36,36774063;9491,361328
36,32967377;9340,660156
37,38731384;9207,023438
36,95186996;9397,375977
36,4508667;9422,318359
36,41978455;9392,646484
37,83120728;9212,015625
36,47422409;9262,677734
37,04888916;9311,259766
37,33950043;9256,118164
36,25178909;9455,142578
36,31009293;9470,884766
36,71823502;9309,679688
37,0436058;9218,564453
37,1064949;9387,927734
36,63279724;9320,179688
37,09863281;9260,59375
34,25965118;8552,46582
35,55801392;8511,522461
34,21819305;8564,549805
34,72279358;8468,1875
34,63666153;8576,105469
35,64949036;8431,958984
34,51794815;8510,46582
34,84851456;8424,603516
34,43587875;8562,447266
34,95336533;8541,192383
34,00027466;8588,185547
34,08235931;8552,738281
34,83640289;8535,669922
34,41876221;8619,430664
34,41603088;8603,145508
34,80516434;8410,958984
34,26877975;8673,503906
35,64613724;8293,851563
34,34373474;8651,454102
34,26215744;8480,266602
34,10398865;8524,384766
34,89363098;8451,664063
34,65602875;8459,266602
29,06941223;6529,209473
28,08672333;6508,483398
29,25269318;6519,251953
28,8054142;6537,890625
29,5195179;6521,085938
28,61523247;6541,832031
29,46141815;6494,037109
29,74359512;6481,429199
28,71776009;6537,356934
28,62163925;6658,396484
29,5226059;6554,424805
29,26278114;6604,317871
28,65002251;6636,609863
29,36142159;6589,079102
29,72221756;6454,658691
28,63617897;6607,730957
29,54134178;6492,731445
28,69296646;6635,817383
29,70597267;6457,020508
29,3068161;6525,287109
29,61914253;6475,927246
29,12114716;6588,296875
30,03246689;6430,509766
29,99963379;6493,77832
30,38357925;6340,441406
30,03589821;6497,983887
29,47292328;6603,26123
30,23165894;6499,817383
29,65636826;6584,100098
30,34755135;6511,368652
29,82701683;6506,111328
34,78066635;8941,841797
34,24966431;8990,677734
33,78269958;9126,414063
34,64537048;8951,558594
33,89959335;9218,84375
34,70450974;8949,973633
34,24500656;9089,12793
35,28759766;8865,955078
34,21244049;9048,43457
34,65970612;8991,464844
34,47216415;9052,371094
34,32325745;8998,810547
34,7812767;9011,947266
34,15872955;9194,416016
33,97925949;9093,592773
34,28980255;9018,773438
33,98311615;8997,236328
34,02981949;9133,499023
34,4316864;9049,754883
33,52573013;9059,72168
33,69573212;9080,466797
33,52348328;9095,964844
34,57846451;8989,880859
33,88608551;9132,716797
39,75630569;7882,956055
39,91287613;8078,032715
41,28755188;7928,364258
40,03624725;8032,345703
40,4244957;8013,439453
41,4354248;7877,444824
40,65933228;8044,943848
41,47016907;8162,839844
41,09545135;8040,483398
41,17111206;8026,051758
41,27298737;8089,31543
42,41675186;7740,911133
41,245327;8023,679688
42,39878082;8107,703613
40,8116684;8096,944336
41,19022369;8030,78125
42,38002396;7934,672852
40,74907303;8101,39502
42,30924225;7980,360352
41,26937103;8028,140625
41,23811722;8040,224121
41,36984634;7994,27832
42,32273483;7989,549316
42,28684998;7946,483398
40,54106522;8174,90918
41,35518265;8138,949219
42,08780289;7983,519531
41,22380066;7970,652344
42,4333725;8067,538574
41,36246872;8027,625977
41,23423004;8153,659668
42,17921448;7941,769043
41,18455505;7982,986328
41,26972961;7980,360352
41,55238342;8207,469727
42,75855637;7844,355469
41,37875748;8013,703125
42,73994446;7954,626465
41,1913147;8052,035156
40,58556366;8125,55957
41,37824249;8122,155273
41,96912003;7931,523926
40,44346619;8066,745117
41,31267166;8062,535156
39,9994812;8105,082031
40,12642288;8050,733887
40,04303741;8097,716797
40,74479675;7982,990234
39,92402267;8016,863281
39,27006149;8126,864258
40,65766525;8023,157227
40,91408157;7761,383789
39,52307129;8099,047363
40,74257278;8032,624512
40,83003235;7780,041016
39,67477417;8148,397949
40,83893967;7981,945313
40,91211319;7781,615723
39,68019485;8034,71875
40,98109055;8007,917969
40,2971611;8018,696289
40,55146408;8151,547363
41,930233;7928,902344
40,47812653;8103,766602
42,08805847;8005,575195
42,09229279;8044,416016
41,0291481;8021,059082
40,54663467;8207,998047
41,01854324;8069,108398
41,81687927;7951,735352
41,07966614;8039,706055
40,7919426;8186,464844
40,8527565;8077,504883
41,07338715;8065,429688
42,00606537;8043,907227
42,48222733;7806,29248
41,02555847;8131,329102
41,24959946;8205,367188
42,3290863;8033,40332
42,30841064;7982,722168
40,71344757;8126,610352
40,93465042;8101,405273
42,01476669;8064,907227
42,34640503;7906,845703
41,08998108;8008,455566
41,23402786;8044,943848
42,37836838;8026,305664
41,94407654;7950,958984
40,23793793;8156,800293
40,36058044;8066,481445
41,25443268;8011,864258
41,06024551;8027,103027
40,42761612;8010,03125
40,49402237;8034,194824
41,45631027;8076,717773
40,80687332;7961,72168
41,05409241;7891,617188
40,04512405;8017,90918
39,99845505;8052,299316
41,10773468;8076,189453
41,26960373;8015,541992
41,7492981;7839,631348
40,56726837;8134,479004
41,26706314;8187,527344
41,72693253;8000,841797
41,67554474;8023,166992
40,76162338;8050,459961
40,71189117;8093,520508
41,79206848;7969,336914
41,67230225;7897,65625
40,61416245;8083,030762
40,99760437;8073,303711
41,36661911;8015,288086
35,85041046;7710,982422
34,47566223;7762,958008
34,40374756;7858,547852
34,47134018;7857,222656
34,76747513;7810,219727
34,63148499;7842,003906
34,71054077;7811,544922
34,79813766;7842,780273
35,75463867;7762,708984
35,93531418;7741,170898
35,98258591;7720,699219
36,04805374;7697,327148
35,31709671;7773,731445
34,86288452;7784,486328
34,66291046;7765,330078
34,86754608;7759,564453
34,4889183;7803,402344
34,49362183;7800,517578
34,50983047;7755,881836
34,39334106;7770,592773
34,07109833;7799,724609
34,79977798;7701,005859
35,09451294;7629,584961
34,91868591;7728,573242
34,85796738;7721,746094
34,31505585;7741,180664
33,95503616;7827,028809
34,08917999;7795,264648
34,38119888;7746,428223
34,23325729;7739,336914
34,73122406;7692,344727
34,73147964;7690,500977
34,57304382;7724,63623
33,82257843;7769,790039
34,09780884;7714,395508
35,49694824;7437,666992
35,03941345;7747,998047
35,3310318;7679,726563
35,02495575;7797,103516
34,882164;7721,223145
35,07778168;7719,902344
35,98474503;7507,503418
36,06891632;7636,152344
35,7985878;7727,247559
35,35030746;7709,412109
34,79684448;7767,951172
35,58400726;7484,390625
35,08115768;7697,855469
41,80693436;10021,46582
43,43822861;10061,89063
44,22113419;9964,232422
44,93095398;9949,787109
43,82405472;10067,4082
44,87731552;9978,150391
43,85474396;10030,66016
45,17374039;9710,856445
43,94006348;10152,75195
45,09894943;9948,998047
43,97422409;10091,56152
44,81887436;10010,17383
44,24214172;10060,32031
45,00355148;10017,25977
44,17511749;10044,83789
44,33028793;10004,6582
44,51210785;10181,10156
43,98170853;10098,12988
45,43159103;9702,195313
45,35283661;10036,69531
44,43886566;10060,84863
45,29138184;9997,048828
44,39963531;10022,52148
45,06884766;10044,5791
44,52691269;10055,33789
35,74142075;8113,744141
35,41817093;8082,50293
37,06056213;7749,044922
36,0838356;8092,733398
35,6908989;8026,310547
36,26692963;8025,77832
35,62115479;8008,187012
35,59881973;8048,37793
36,25473022;8026,306641
36,62004471;8051,25293
36,61080551;7955,154297
36,23628998;8064,916992
36,01749039;8051,516602
35,27316284;8074,101563
36,28498077;7967,762695
34,97000504;8145,776367
35,50691986;7978,266602
36,50628662;7961,463867
35,20993423;8092,211426
36,42987442;7926,540527
35,74306488;8096,669922
35,43058014;8015,283203
36,57612991;7928,113281
43,57514191;9894,650391
42,76111603;10062,16016
42,14742279;10164,55664
42,94247055;10167,44727
42,67489624;10085,53125
42,85197067;10159,84277
42,70198441;10068,72852
42,705513;10182,94531
42,01330566;10171,92188
43,05995178;9983,404297
42,4725914;10055,07422
43,80054092;9830,067383
42,53465271;10056,38867
43,99330902;9684,344727
42,59685898;10132,00586
44,49115753;9690,384766
42,44641876;10101,2793
37,13760757;8538,820313
36,14884567;8446,130859
33,79953003;8038,645508
34,53234863;7896,869629
33,37623215;8159,700195
33,15633011;8115,84668
35,0088501;7663,719727
33,67039871;8219,550781
33,32723236;8131,603516
34,95661926;7927,327637
34,21164322;8011,615234
33,63502884;8147,870117
34,09342957;8140,783203
34,6593895;7942,546875
35,04943848;8029,983398
34,14795303;8173,064941
34,75415421;8024,202637
34,95312881;8006,880859
34,3619957;8183,320313
34,34223938;8094,836426
35,12428665;7992,967773
33,96048355;8132,380859
35,27287674;7864,039063
34,32219315;8012,661621
35,40847015;8603,404297
36,50106812;8442,991211
36,11555481;8430,902344
35,78717422;8622,306641
36,22109604;8577,939453
35,53886414;8488,150391
35,25202942;8458,46875
36,51592255;8452,180664
36,80645752;8190,65625
35,16290283;8622,829102
35,62049103;8558,513672
36,41381836;8461,359375
35,81381226;8513,09668
36,34805298;8515,179688
36,52407837;8536,708008
35,65109253;8575,841797
35,38612747;8582,140625
36,52257156;8570,066406
36,22049332;8347,412109
36,00510025;8391,792969
36,08604813;8522,017578
35,76316833;8675,87207
35,77144623;8521,488281
23,95464516;7066,141602
24,1102829;7086,094727
