Density;OUT;PV
320;44,90849686;6504,003906
320;45,15124893;6467,515625
320;45,24194336;6462,263184
320;45,12513733;6516,342773
320;45,02366638;6498,760742
320;66,11686707;8708,064453
320;65,83231354;8599,652344
376;65,86377716;8624,324219
376;65,78447723;8554,498047
376;65,66965485;8615,404297
376;65,76155853;8596,766602
376;66,12149811;8524,298828
376;65,90973663;8569,986328
376;65,65170288;8590,457031
376;65,68661499;8609,363281
376;65,5014801;8628,255859
376;65,42274475;8644,800781
376;65,65411377;8595,710938
376;65,49694824;8631,140625
376;65,46364594;8589,140625
376;65,46673584;8588,355469
376;65,39222717;8622,216797
376;65,35800171;8605,158203
376;65,29584503;8663,438477
376;65,34085846;8592,032227
376;65,44223022;8616,181641
376;65,47100067;8598,859375
376;65,40590668;8616,978516
376;65,30633545;8641,118164
376;65,52939606;8646,371094
376;66,19710541;8568,93457
376;67,41212463;8457,353516
376;67,48959351;8570,235352
376;66,71689606;8525,355469
376;66,56620026;8584,675781
376;66,38722992;8656,611328
376;66,19612885;8667,116211
376;66,13867188;8623,806641
376;65,88827515;8637,181641
376;65,7865448;8605,951172
376;66,12502289;8563,951172
376;65,78824615;8648,738281
376;66,30288696;8571,820313
376;66,9868927;8510,654297
376;66,2408371;8591,513672
376;66,05335999;8574,969727
376;66,17573547;8631,410156
376;66,12050629;8647,685547
376;66,27378845;8619,859375
376;66,34346771;8651,103516
376;66,4394989;8677,615234
376;66,13256073;8589,401367
376;51,48140717;6975,225586
376;51,54493713;6986,507813
360;51,71107864;7011,703125
360;51,63846588;7034,806152
360;51,91194916;6982,307617
360;51,98839188;6975,743652
360;51,864151;6998,318359
360;51,68848419;7052,138184
360;51,89354706;7009,082031
360;51,83214951;6995,697266
360;51,57690811;7008,29541
360;51,60068893;7010,407715
360;51,39900208;7034,018555
360;51,66512299;6989,398438
360;51,57774353;6964,192383
360;51,08709717;7065,782715
360;51,3004837;7011,454102
360;51,52709961;6959,99707
360;51,28003693;6994,915039
360;51,56707382;7031,132813
360;52,05564117;6975,21582
360;51,77971649;7014,59375
360;51,26717758;7026,149902
360;51,26759338;6982,56543
360;51,62156677;6981,260742
360;51,60798264;7011,185547
360;50,72392273;6988,600586
360;51,23527527;6947,38916
344;51,24455643;7013,288086
344;51,1667099;7043,20752
344;51,44697571;6974,946289
344;51,40793991;6994,651367
344;51,39981079;7005,145996
344;51,28343964;7029,553223
344;51,52168274;6991,241699
344;51,6818161;6961,301758
344;51,93551636;6939,779297
344;51,88216019;7016,173828
344;52,31511688;6980,462891
344;52,60057831;6984,933594
344;52,94742203;6970,232422
344;53,00174332;6990,175781
344;53,10855865;6999,365234
344;53,04289627;7003,572266
344;53,13272858;6992,279297
344;53,22536087;6990,704102
344;53,39194489;6983,62207
344;53,35644531;7005,932617
344;53,4265213;7028,507324
344;53,57579422;6994,650391
344;53,83643723;6976,541016
344;53,86912155;7031,397461
344;54,08509445;6966,554688
344;53,62717056;7014,334473
344;53,63788605;6981,255371
344;51,39948654;7063,948242
344;51,98884583;6953,164551
344;51,89498901;7058,955078
