DateTime;EL04_Process_Recipe_Working,MESQuality,Density_Max;EL04_Process_Recipe_Working,Extruder,AltBom;EL04_Process_Recipe_Working,Extruder,DietCode;EL04_Process_Recipe_Working,Extruder,ProdOrderNum;EL04_Process_Recipe_Working,MESQuality,Density_Min;EL04_Process_Recipe_Working,MESQuality,Density_Target;EL04_Dry_Feed_Rate_PID,OUT;EL04_Dry_Feed_Rate_PID,PV;EL04_Dry_Feed_Rate_PID,SP
11/23/2023 2:59:31 PM;432;011-00;BK33725M;9871374;368;400;0;14,70077896;0
11/23/2023 2:59:36 PM;432;011-00;BK33725M;9871374;368;400;0;16,27550888;0
11/23/2023 2:59:41 PM;432;011-00;BK33725M;9871374;368;400;0;16,27550888;0
11/23/2023 2:59:46 PM;432;011-00;BK33725M;9871374;368;400;0;18,38843155;0
11/23/2023 2:59:51 PM;432;011-00;BK33725M;9871374;368;400;0;19,95319176;0
11/23/2023 2:59:56 PM;432;011-00;BK33725M;9871374;368;400;0;18,11933327;0
11/23/2023 3:00:01 PM;432;011-00;BK33725M;9871374;368;400;0;11,81045532;0
11/23/2023 3:00:06 PM;432;011-00;BK33725M;9871374;368;400;0;17,5911026;0
11/23/2023 3:00:11 PM;432;011-00;BK33725M;9871374;368;400;0;6,039777756;0
11/23/2023 3:00:16 PM;432;011-00;BK33725M;9871374;368;400;0;12,86691856;0
11/23/2023 3:00:21 PM;432;011-00;BK33725M;9871374;368;400;0;17,32200241;0
11/23/2023 3:00:26 PM;432;011-00;BK33725M;9871374;368;400;0;43,05583954;0
11/23/2023 3:00:31 PM;432;011-00;BK33725M;9871374;368;400;0;51,45771027;0
11/23/2023 3:00:36 PM;432;011-00;BK33725M;9871374;368;400;0;83,73962402;0
11/23/2023 3:00:41 PM;432;011-00;BK33725M;9871374;368;400;0;101,8489914;0
11/23/2023 3:00:46 PM;432;011-00;BK33725M;9871374;368;400;0;90,83586121;0
11/23/2023 3:00:51 PM;432;011-00;BK33725M;9871374;368;400;0;76,13508606;0
11/23/2023 3:00:56 PM;432;011-00;BK33725M;9871374;368;400;0;55,39453125;0
11/23/2023 3:01:01 PM;432;011-00;BK33725M;9871374;368;400;0;281,4077759;0
11/23/2023 3:01:06 PM;432;011-00;BK33725M;9871374;368;400;0;152,2602234;0
11/23/2023 3:01:11 PM;432;011-00;BK33725M;9871374;368;400;0;15,22901058;0
11/23/2023 3:01:16 PM;432;011-00;BK33725M;9871374;368;400;0;18,63759804;0
11/23/2023 3:01:21 PM;432;011-00;BK33725M;9871374;368;400;0;10,76395988;0
11/23/2023 3:01:26 PM;432;011-00;BK33725M;9871374;368;400;0;8,142737389;0
11/23/2023 3:01:31 PM;432;011-00;BK33725M;9871374;368;400;0;7,614505291;0
11/23/2023 3:01:36 PM;432;011-00;BK33725M;9871374;368;400;0;21,25882149;0
11/23/2023 3:01:41 PM;432;011-00;BK33725M;9871374;368;400;0;25,99297142;0
11/23/2023 3:01:46 PM;432;011-00;BK33725M;9871374;368;400;0;11,81045628;0
11/23/2023 3:01:51 PM;432;011-00;BK33725M;9871374;368;400;0;4,195951462;0
11/23/2023 3:01:56 PM;432;011-00;BK33725M;9871374;368;400;0;3,677686453;0
11/23/2023 3:02:01 PM;432;011-00;BK33725M;9871374;368;400;0;17,59110069;0
11/23/2023 3:02:06 PM;432;011-00;BK33725M;9871374;368;400;0;30,18892288;0
