OUT;PV;SP;Year;Month;Day;Hour;Minute
61,21682739;9111,014648;9300;2023;11;6;21;41
60,12541962;9428,930664;9300;2023;11;6;21;41
60,35483932;9324,44043;9300;2023;11;6;21;41
61,13824081;9142,529297;9300;2023;11;6;21;41
60,70775604;9317,363281;9300;2023;11;6;21;41
60,24937439;9429,189453;9300;2023;11;6;21;41
60,51592255;9303,709961;9300;2023;11;6;21;41
60,13863754;9414,757813;9300;2023;11;6;21;41
60,60476685;9254,353516;9300;2023;11;6;21;42
61,09650421;9148,030273;9300;2023;11;6;21;42
60,67726898;9337,306641;9300;2023;11;6;21;42
59,95688629;9509,519531;9300;2023;11;6;21;42
60,23530579;9365,921875;9300;2023;11;6;21;42
60,4912529;9273,779297;9300;2023;11;6;21;42
60,62820053;9247,786133;9300;2023;11;6;21;42
60,5550499;9279,80957;9300;2023;11;6;21;42
60,34899902;9339,923828;9300;2023;11;6;21;42
60,34899902;9339,923828;9300;2023;11;6;21;42
60,34899902;9339,923828;9300;2023;11;6;21;42
60,34899902;9339,923828;9300;2023;11;6;21;42
60,34899902;9339,923828;9300;2023;11;6;21;43
60,34899902;9339,923828;9300;2023;11;6;21;43
60,34899902;9339,923828;9300;2023;11;6;21;43
60,34899902;9339,923828;9300;2023;11;6;21;43
60,34899902;9339,923828;9300;2023;11;6;21;43
60,34899902;9339,923828;9300;2023;11;6;21;43
60,34899902;9339,923828;9300;2023;11;6;21;43
60,34899902;9339,923828;9300;2023;11;6;21;43
60,38267899;9343,087891;9300;2023;11;6;21;43
60,97149277;9176,386719;9300;2023;11;6;21;43
61,12844467;9185,046875;9300;2023;11;6;21;43
61,08264542;9254,873047;9300;2023;11;6;21;43
60,16197205;9507,686523;9300;2023;11;6;21;44
60,10779572;9447,040039;9300;2023;11;6;21;44
61,07458496;9129,124023;9300;2023;11;6;21;44
61,21994019;9151,967773;9300;2023;11;6;21;44
60,84014511;9284,274414;9300;2023;11;6;21;44
60,40293884;9416,851563;9300;2023;11;6;21;44
60,32752991;9395,054688;9300;2023;11;6;21;44
60,10031891;9418,15625;9300;2023;11;6;21;44
61,22000885;9083,985352;9300;2023;11;6;21;44
61,35584641;9125,197266;9300;2023;11;6;21;44
60,71155167;9327,588867;9300;2023;11;6;21;44
60,71155167;9327,588867;9300;2023;11;6;21;44
60,71155167;9327,588867;9300;2023;11;6;21;45
60,71155167;9327,588867;9300;2023;11;6;21;45
60,71155167;9327,588867;9300;2023;11;6;21;45
60,71155167;9327,588867;9300;2023;11;6;21;45
60,71155167;9327,588867;9300;2023;11;6;21;45
60,71155167;9327,588867;9300;2023;11;6;21;45
60,71155167;9327,588867;9300;2023;11;6;21;45
60,71155167;9327,588867;9300;2023;11;6;21;45
60,71155167;9327,588867;9300;2023;11;6;21;45
60,71155167;9327,588867;9300;2023;11;6;21;45
60,73949051;9322,597656;9300;2023;11;6;21;45
60,46969604;9373,277344;9300;2023;11;6;21;45
60,82533646;9255,929688;9300;2023;11;6;21;46
61,37800217;9145,9375;9300;2023;11;6;21;46
60,77307892;9355,675781;9300;2023;11;6;21;46
60,31422043;9454,116211;9300;2023;11;6;21;46
61,36375046;9132,283203;9300;2023;11;6;21;46
61,20215988;9238,857422;9300;2023;11;6;21;46
61,13596725;9277,447266;9300;2023;11;6;21;46
60,50371552;9439,424805;9300;2023;11;6;21;46
60,49743271;9407,392578;9300;2023;11;6;21;46
60,26351547;9429,71875;9300;2023;11;6;21;46
61,22097778;9160,887695;9300;2023;11;6;21;46
61,31664658;9182,162109;9300;2023;11;6;21;46
61,33971405;9182,162109;9300;2023;11;6;21;47
61,33971405;9182,162109;9300;2023;11;6;21;47
