DateTime;EL02_Process_Recipe_Working,MESQuality,Density_Max;EL02_Process_Recipe_Working,Extruder,AltBom;EL02_Process_Recipe_Working,Extruder,DietCode;EL02_Process_Recipe_Working,Extruder,ProdOrderNum;EL02_Process_Recipe_Working,MESQuality,Density_Min;EL02_Process_Recipe_Working,MESQuality,Density_Target;EL02_Dry_Feed_Rate_PID,OUT;EL02_Dry_Feed_Rate_PID,PV;EL02_Dry_Feed_Rate_PID,SP
11/22/2023 6:13:59 PM;376;011-00;BK32348M;9871289;312;344;42,45223999;6959,996094;7000
11/22/2023 6:14:04 PM;376;011-00;BK32348M;9871289;312;344;42,17755508;7047,155273;7000
11/22/2023 6:14:09 PM;376;011-00;BK32348M;9871289;312;344;42,18623352;7011,18457;7000
11/22/2023 6:14:14 PM;376;011-00;BK32348M;9871289;312;344;42,40895462;6946,073242;7000
11/22/2023 6:14:19 PM;376;011-00;BK32348M;9871289;312;344;42,78714752;6860,758789;7000
11/22/2023 6:14:24 PM;376;011-00;BK32348M;9871289;312;344;42,15193558;7074,702637;7000
11/22/2023 6:14:29 PM;376;011-00;BK32348M;9871289;312;344;42,16300583;7056,080078;7000
11/22/2023 6:14:34 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:14:39 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:14:44 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:14:49 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:14:54 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:14:59 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:15:04 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:15:09 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:15:14 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:15:19 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
11/22/2023 6:15:24 PM;376;011-00;BK32348M;9871289;312;344;41,83839798;7133,255859;7000
