Density_Target;Dry_Feed_Rate_PID.OUT;Dry_Feed_Rate_PID.SP;Line 3;Line 2;Line 1
376;53,3308372497559;7300;1;0;0
376;53,2668533325195;7300;1;0;0
376;53,1498527526855;7300;1;0;0
376;53,0315818786621;7300;1;0;0
376;53,1497688293457;7300;1;0;0
376;53,2874145507813;7300;1;0;0
376;53,2154693603516;7300;1;0;0
376;53,1942901611328;7300;1;0;0
376;53,0902557373047;7300;1;0;0
376;52,9643707275391;7300;1;0;0
376;53,0224189758301;7300;1;0;0
376;52,777214050293;7300;1;0;0
376;52,7638397216797;7300;1;0;0
376;63,1003456115723;8600;1;0;0
376;58,9723739624023;8000;1;0;0
376;58,6731567382813;8000;1;0;0
376;58,5435447692871;8000;1;0;0
376;59,036506652832;8000;1;0;0
376;58,9311904907227;8000;1;0;0
376;59,3995742797852;8000;1;0;0
376;59,0763206481934;8000;1;0;0
376;59,2312927246094;8000;1;0;0
376;59,35107421875;8000;1;0;0
376;59,1266555786133;8000;1;0;0
376;59,2721061706543;8000;1;0;0
376;59,1579132080078;8000;1;0;0
376;59,3725967407227;8000;1;0;0
376;59,3507995605469;8000;1;0;0
376;59,6816444396973;8000;1;0;0
376;59,3535537719727;8000;1;0;0
376;59,2838401794434;8000;1;0;0
376;58,7140808105469;8000;1;0;0
376;58,8635025024414;8000;1;0;0
376;58,2642936706543;8000;1;0;0
376;58,2201385498047;8000;1;0;0
376;58,0835914611816;8000;1;0;0
376;58,0002479553223;8000;1;0;0
376;58,1678161621094;8000;1;0;0
376;58,1928596496582;8000;1;0;0
376;58,166187286377;8000;1;0;0
376;57,9801712036133;8000;1;0;0
376;58,0214462280273;8000;1;0;0
376;58,0594253540039;8000;1;0;0
376;59,3021583557129;8000;1;0;0
376;59,5419311523438;8000;1;0;0
376;59,2231597900391;8000;1;0;0
376;59,6275215148926;8000;1;0;0
376;60,1965255737305;8000;1;0;0
376;60,0093650817871;8000;1;0;0
376;56,8745346069336;9000;1;0;0
376;58,4041061401367;9000;1;0;0
528;58,5449714660645;9000;1;0;0
528;58,4750099182129;9000;1;0;0
528;58,4080429077148;9000;1;0;0
528;58,3099517822266;9000;1;0;0
528;58,2180061340332;9000;1;0;0
528;58,2754020690918;9000;1;0;0
528;58,2980918884277;9000;1;0;0
528;58,3672103881836;9000;1;0;0
528;58,2747573852539;9000;1;0;0
528;58,4160385131836;9000;1;0;0
528;58,2974090576172;9000;1;0;0
528;58,1710586547852;9000;1;0;0
528;57,883056640625;9000;1;0;0
528;58,23095703125;9000;1;0;0
528;58,4113464355469;9000;1;0;0
528;58,4403648376465;9000;1;0;0
528;58,2364921569824;9000;1;0;0
528;58,3185234069824;9000;1;0;0
528;58,4345550537109;9000;1;0;0
528;58,5786018371582;9000;1;0;0
528;58,6285972595215;9000;1;0;0
528;58,1004447937012;9000;1;0;0
528;58,5145416259766;9000;1;0;0
528;58,3372116088867;9000;1;0;0
528;58,2457313537598;9000;1;0;0
528;58,0401649475098;9000;1;0;0
528;57,8529357910156;9000;1;0;0
528;58,038890838623;9000;1;0;0
528;58,2955207824707;9000;1;0;0
528;48,7195930480957;7000;1;0;0
528;49,1035232543945;7000;1;0;0
432;49,3907165527344;7000;1;0;0
432;49,1243286132813;7000;1;0;0
432;49,3652420043945;7000;1;0;0
432;49,4001083374023;7000;1;0;0
432;49,429012298584;7000;1;0;0
432;49,3445205688477;7000;1;0;0
432;49,4575119018555;7000;1;0;0
432;49,6857833862305;7000;1;0;0
432;49,395336151123;7000;1;0;0
432;49,5740051269531;7000;1;0;0
432;49,0322189331055;7000;1;0;0
432;48,9734382629395;7000;1;0;0
432;49,394458770752;7000;1;0;0
432;48,728759765625;7000;1;0;0
432;51,2107925415039;7000;1;0;0
432;51,3692398071289;7000;1;0;0
360;51,575756072998;7000;1;0;0
360;51,6869430541992;7000;1;0;0
360;51,7596778869629;7000;1;0;0
360;51,4754333496094;7000;1;0;0
360;51,4802742004395;7000;1;0;0
360;51,5328254699707;7000;1;0;0
360;51,5509262084961;7000;1;0;0
360;51,7140769958496;7000;1;0;0
360;51,6657638549805;7000;1;0;0
360;51,6511650085449;7000;1;0;0
360;51,7444076538086;7000;1;0;0
360;51,460994720459;7000;1;0;0
360;51,3356094360352;7000;1;0;0
360;51,4108238220215;7000;1;0;0
360;51,133056640625;7000;1;0;0
360;51,3195762634277;7000;1;0;0
360;51,2138519287109;7000;1;0;0
360;51,5191650390625;7000;1;0;0
360;51,4429359436035;7000;1;0;0
360;51,6693801879883;7000;1;0;0
360;51,4098358154297;7000;1;0;0
360;51,3698997497559;7000;1;0;0
360;51,5451545715332;7000;1;0;0
360;51,486156463623;7000;1;0;0
360;51,3757972717285;7000;1;0;0
360;51,0231704711914;7000;1;0;0
360;51,2659072875977;7000;1;0;0
360;51,2243881225586;7000;1;0;0
360;51,1233940124512;7000;1;0;0
360;51,513126373291;7000;1;0;0
360;51,212028503418;7000;1;0;0
360;50,712760925293;7000;1;0;0
360;57,9601135253906;8800;1;0;0
360;58,7632637023926;8800;1;0;0
384;58,4872550964355;8800;1;0;0
384;58,530330657959;8800;1;0;0
384;58,5936241149902;8800;1;0;0
384;58,6805000305176;8800;1;0;0
384;58,484977722168;8800;1;0;0
384;58,6706275939941;8800;1;0;0
384;58,6432723999023;8800;1;0;0
384;58,7719993591309;8800;1;0;0
384;58,4657325744629;8800;1;0;0
384;58,4997291564941;8800;1;0;0
384;58,5465316772461;8800;1;0;0
384;58,5920677185059;8800;1;0;0
384;58,3059234619141;8800;1;0;0
384;58,5560684204102;8800;1;0;0
384;58,319450378418;8800;1;0;0
384;58,1971473693848;8800;1;0;0
384;58,5580787658691;8800;1;0;0
384;58,6232452392578;8800;1;0;0
384;58,9893569946289;7500;1;0;0
384;57,835865020752;7500;1;0;0
376;58,1419906616211;7500;1;0;0
376;57,7663803100586;7500;1;0;0
376;57,8100662231445;7500;1;0;0
376;57,595287322998;7500;1;0;0
376;57,5314331054688;7500;1;0;0
376;57,5970764160156;7500;1;0;0
376;58,0525741577148;7500;1;0;0
376;57,9061164855957;7500;1;0;0
376;57,3589248657227;7500;1;0;0
376;57,2540092468262;7500;1;0;0
376;57,466381072998;7500;1;0;0
376;57,105655670166;7500;1;0;0
376;57,3110084533691;7500;1;0;0
376;57,4004554748535;7500;1;0;0
376;57,6359825134277;7500;1;0;0
376;57,7599868774414;7500;1;0;0
376;57,7070388793945;7500;1;0;0
376;57,9289932250977;7500;1;0;0
376;58,1036224365234;7500;1;0;0
376;58,3008003234863;7500;1;0;0
376;58,8254013061523;7500;1;0;0
376;58,4510765075684;7500;1;0;0
376;58,3171882629395;7500;1;0;0
376;58,4954719543457;7500;1;0;0
376;58,571590423584;7500;1;0;0
376;58,8860893249512;7500;1;0;0
376;58,681941986084;7500;1;0;0
376;59,0896224975586;7500;1;0;0
376;59,0233306884766;7500;1;0;0
376;58,9876098632813;7500;1;0;0
376;59,130256652832;7500;1;0;0
376;59,1543235778809;7500;1;0;0
376;58,8913459777832;7500;1;0;0
376;59,5602378845215;7500;1;0;0
376;59,6541328430176;7500;1;0;0
376;59,5312347412109;7500;1;0;0
376;56,8040084838867;7500;1;0;0
376;50,6493911743164;7000;1;0;0
376;51,2172813415527;7000;1;0;0
376;51,4985008239746;7000;1;0;0
344;51,7178230285645;7000;1;0;0
344;51,8709907531738;7000;1;0;0
344;51,9286041259766;7000;1;0;0
344;52,022533416748;7000;1;0;0
344;51,7520408630371;7000;1;0;0
344;51,8475456237793;7000;1;0;0
344;51,5014114379883;7000;1;0;0
344;51,7368316650391;7000;1;0;0
344;51,8514823913574;7000;1;0;0
344;52,2416610717773;7000;1;0;0
344;52,2658500671387;7000;1;0;0
344;52,6845016479492;7000;1;0;0
344;52,9681091308594;7000;1;0;0
344;52,8045959472656;7000;1;0;0
344;53,1119155883789;7000;1;0;0
344;53,1976585388184;7000;1;0;0
344;53,3229103088379;7000;1;0;0
344;53,6574249267578;7000;1;0;0
344;53,271598815918;7000;1;0;0
344;53,3028793334961;7000;1;0;0
344;53,1422920227051;7000;1;0;0
344;53,0508651733398;7000;1;0;0
344;53,3832359313965;7000;1;0;0
344;53,2811088562012;7000;1;0;0
344;53,5824279785156;7000;1;0;0
344;53,4445724487305;7000;1;0;0
344;53,4856147766113;7000;1;0;0
344;53,5730857849121;7000;1;0;0
344;53,7037200927734;7000;1;0;0
344;53,9551963806152;7000;1;0;0
344;53,9450721740723;7000;1;0;0
344;54,0292625427246;7000;1;0;0
344;54,5193748474121;7000;1;0;0
344;54,3236694335938;7000;1;0;0
344;54,0963706970215;7000;1;0;0
344;55,4218521118164;7000;1;0;0
344;55,2769012451172;7000;1;0;0
344;55,0313148498535;7000;1;0;0
344;55,2633056640625;7000;1;0;0
344;55,0844039916992;7200;1;0;0
344;54,9361724853516;7200;1;0;0
376;55,5565414428711;7200;1;0;0
376;54,9709053039551;7200;1;0;0
376;55,6356315612793;7200;1;0;0
376;55,5611572265625;7200;1;0;0
376;55,6595764160156;7200;1;0;0
376;56,0793113708496;7200;1;0;0
376;55,9923286437988;7200;1;0;0
376;55,7530250549316;7200;1;0;0
376;55,3125953674316;7200;1;0;0
376;55,2917785644531;7200;1;0;0
376;54,7680244445801;7200;1;0;0
376;55,2082710266113;7200;1;0;0
376;55,1962776184082;7200;1;0;0
376;54,6166915893555;7200;1;0;0
376;54,2939147949219;7200;1;0;0
376;54,7931823730469;7200;1;0;0
376;55,7156715393066;7200;1;0;0
376;55,441650390625;7200;1;0;0
376;55,6458358764648;7200;1;0;0
376;55,7037734985352;7200;1;0;0
376;55,9613990783691;7200;1;0;0
376;55,7672538757324;7200;1;0;0
376;55,8966484069824;7200;1;0;0
376;55,9255523681641;7200;1;0;0
376;56,087703704834;7200;1;0;0
376;56,3529281616211;7200;1;0;0
376;56,198902130127;7200;1;0;0
376;56,4217491149902;7200;1;0;0
376;55,7766647338867;7200;1;0;0
376;56,2859230041504;7200;1;0;0
376;56,0710983276367;7200;1;0;0
376;59,9831695556641;7800;1;0;0
376;60,5538902282715;7800;1;0;0
376;60,7600975036621;7800;1;0;0
376;61,4113883972168;7800;1;0;0
376;61,2975463867188;7800;1;0;0
376;61,056957244873;7800;1;0;0
376;61,7312889099121;7800;1;0;0
376;61,3359756469727;7800;1;0;0
376;61,1706466674805;7800;1;0;0
376;61,0394668579102;7800;1;0;0
376;61,6537208557129;7800;1;0;0
376;61,252140045166;7800;1;0;0
376;61,3794136047363;7800;1;0;0
376;60,9464530944824;7800;1;0;0
376;60,9896049499512;7800;1;0;0
376;61,066520690918;7800;1;0;0
376;61,3600273132324;7800;1;0;0
376;56,4647674560547;7700;1;0;0
376;57,0683746337891;7700;1;0;0
344;57,2117500305176;7700;1;0;0
344;57,682991027832;7700;1;0;0
344;57,4423294067383;7700;1;0;0
344;57,2781410217285;7700;1;0;0
344;57,399112701416;7700;1;0;0
344;57,3461608886719;7700;1;0;0
344;57,3271293640137;7700;1;0;0
344;57,4088668823242;7700;1;0;0
344;57,340763092041;7700;1;0;0
344;57,3189315795898;7700;1;0;0
344;57,5215950012207;7700;1;0;0
344;57,4280433654785;7700;1;0;0
344;57,4054870605469;7700;1;0;0
344;57,4862289428711;7700;1;0;0
344;57,5611572265625;7700;1;0;0
344;57,022575378418;7700;1;0;0
344;57,4201049804688;7700;1;0;0
344;57,8016891479492;7700;1;0;0
344;58,1229400634766;7700;1;0;0
344;58,0148086547852;7700;1;0;0
344;59,0643424987793;7700;1;0;0
344;68,8033218383789;8600;1;0;0
344;69,4132690429688;8600;1;0;0
376;69,9991226196289;8600;1;0;0
376;51,213680267334;7000;1;0;0
376;52,0584754943848;7000;1;0;0
376;52,0064086914063;7000;1;0;0
360;52,088981628418;7000;1;0;0
360;52,3151512145996;7000;1;0;0
360;52,3021965026855;7000;1;0;0
360;52,3385620117188;7000;1;0;0
360;51,648380279541;7000;1;0;0
360;51,9001731872559;7000;1;0;0
360;51,9968643188477;7000;1;0;0
360;51,8398704528809;7000;1;0;0
360;51,8245468139648;7000;1;0;0
360;52,0036125183105;7000;1;0;0
360;52,2089309692383;7000;1;0;0
360;51,9309997558594;7000;1;0;0
360;51,7236213684082;7000;1;0;0
360;51,6285934448242;7000;1;0;0
360;51,696174621582;7000;1;0;0
360;51,6677322387695;7000;1;0;0
360;51,4737243652344;7000;1;0;0
360;51,6465530395508;7000;1;0;0
360;51,705078125;7000;1;0;0
360;51,5887756347656;7000;1;0;0
360;51,3499603271484;7000;1;0;0
360;51,1312217712402;7000;1;0;0
360;51,1851806640625;7000;1;0;0
360;50,8460006713867;7000;1;0;0
360;50,8564376831055;7000;1;0;0
360;50,7914733886719;7000;1;0;0
360;50,882926940918;7000;1;0;0
360;51,5671234130859;7000;1;0;0
360;49,9622383117676;7000;1;0;0
